date,close
19-Apr-16,94.0
20-Apr-16,99.0
21-Apr-16,100.0
22-Apr-16,105.0
24-Apr-16,107.0
25-Apr-16,104.0
27-Apr-16,105.0
28-Apr-16,96.0
29-Apr-16,94.0
02-May-16,97.0
27-May-16,45.0
21-Jun-16,24.0
12-Jul-16,14.0
20-Jul-16,14.0
20-Nov-16,15.0
19-Mar-17,33.0
21-Mar-17,33.0
24-Mar-17,63.0
25-Mar-17,64.0
26-Mar-17,64.0
01-Apr-17,68.0
02-Apr-17,67.0
05-Apr-17,63.0
10-Apr-17,65.0
11-Apr-17,60.0
12-Apr-17,62.0
13-Apr-17,69.0
14-Apr-17,74.0
19-Apr-17,72.0
20-Apr-17,71.0
21-Apr-17,71.0
22-Apr-17,71.0
23-Apr-17,72.0
