date,close
19-Apr-16,10.0
20-Apr-16,11.0
21-Apr-16,11.0
22-Apr-16,11.0
24-Apr-16,12.0
25-Apr-16,11.0
27-Apr-16,11.0
28-Apr-16,4.0
29-Apr-16,4.0
02-May-16,4.0
27-May-16,3.0
21-Jun-16,4.0
12-Jul-16,3.0
20-Jul-16,3.0
20-Nov-16,2.0
19-Mar-17,4.0
21-Mar-17,4.0
24-Mar-17,6.0
25-Mar-17,5.0
26-Mar-17,5.0
01-Apr-17,5.0
02-Apr-17,10.0
05-Apr-17,10.0
10-Apr-17,10.0
11-Apr-17,12.0
12-Apr-17,12.0
13-Apr-17,14.0
14-Apr-17,14.0
19-Apr-17,15.0
20-Apr-17,15.0
21-Apr-17,16.0
22-Apr-17,16.0
23-Apr-17,17.0
24-Apr-17,19.0
28-Apr-17,19.0
03-May-17,18.0
07-May-17,16.0
13-May-17,17.0
15-May-17,17.0
18-May-17,17.0
08-Dec-17,13.0
09-Dec-17,14.0
07-May-19,4.0
29-May-19,3.0
26-Sep-20,3.0
